21:16:52  [main] 	Initializing Control Panel
21:16:52  [main] 	Windows Version:  Home  64-bit
21:16:52  [main] 	XAMPP Version: 8.2.12
21:16:52  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
21:16:52  [main] 	You are not running with administrator rights! This will work for
21:16:52  [main] 	most application stuff but whenever you do something with services
21:16:52  [main] 	there will be a security dialogue or things will break! So think 
21:16:52  [main] 	about running this application with administrator rights!
21:16:52  [main] 	XAMPP Installation Directory: "d:\webgame3.0\nodejsprojectpackage\xampp\"
21:16:52  [main] 	Checking for prerequisites
21:16:59  [main] 	All prerequisites found
21:16:59  [main] 	Initializing Modules
21:16:59  [main] 	The FileZilla module is disabled
21:16:59  [main] 	The Mercury module is disabled
21:16:59  [main] 	Starting Check-Timer
21:16:59  [main] 	Control Panel Ready
21:17:02  [Apache] 	Attempting to start Apache app...
21:17:02  [Apache] 	Status change detected: running
21:17:02  [mysql] 	Attempting to start MySQL app...
21:17:03  [Apache] 	Status change detected: stopped
21:17:03  [Apache] 	Error: Apache shutdown unexpectedly.
21:17:03  [Apache] 	This may be due to a blocked port, missing dependencies, 
21:17:03  [Apache] 	improper privileges, a crash, or a shutdown by another method.
21:17:03  [Apache] 	Press the Logs button to view error logs and check
21:17:03  [Apache] 	the Windows Event Viewer for more clues
21:17:03  [Apache] 	If you need more help, copy and post this
21:17:03  [Apache] 	entire log window on the forums
21:18:30  [Apache] 	Attempting to start Apache app...
21:18:31  [Apache] 	Status change detected: running
21:18:31  [mysql] 	Attempting to start MySQL app...
21:18:32  [mysql] 	Status change detected: running
21:23:58  [mysql] 	Attempting to stop MySQL app...
21:23:58  [mysql] 	Status change detected: stopped
21:23:59  [Apache] 	Attempting to stop Apache (PID: 35192)
21:23:59  [Apache] 	Attempting to stop Apache (PID: 30120)
21:23:59  [Apache] 	Status change detected: stopped
23:04:18  [main] 	Deinitializing Modules
23:04:18  [main] 	Deinitializing Control Panel

